iter	RMSE
0	14.64720441
1	14.26422755
2	13.89799381
3	13.53955506
4	13.2131094
5	12.93008571
6	12.62570091
7	12.36057768
8	12.09819598
9	11.80517328
10	11.54213672
11	11.30159225
12	11.08796352
13	10.84480922
14	10.60639507
15	10.4073102
16	10.21580787
17	10.01904658
18	9.830530992
19	9.650483505
20	9.498649273
21	9.308876025
22	9.121497228
23	8.962154533
24	8.802829236
25	8.652416815
26	8.518319805
27	8.381029151
28	8.26195193
29	8.134357962
30	8.007386407
31	7.883079406
32	7.781558559
33	7.665226155
34	7.584920277
35	7.498510359
36	7.398630282
37	7.316685459
38	7.214937821
39	7.134309685
40	7.052378308
41	6.980864923
42	6.910501437
43	6.840693122
44	6.764424971
45	6.690279742
46	6.629541791
47	6.568312747
48	6.508418512
49	6.447311507
50	6.39284148
51	6.344148241
52	6.298972241
53	6.253491848
54	6.202826474
55	6.161714397
56	6.119553384
57	6.080889441
58	6.03864042
59	6.006223845
60	5.972900398
61	5.932309892
62	5.906197436
63	5.878763613
64	5.851176919
65	5.818789428
66	5.794185499
67	5.765329913
68	5.740071705
69	5.720796331
70	5.704998547
71	5.680756937
72	5.662611705
73	5.639644086
74	5.618777212
75	5.602641098
76	5.584553681
77	5.563936821
78	5.54784649
79	5.531882228
80	5.517718548
81	5.494669503
82	5.478295994
83	5.459815008
84	5.450399333
85	5.432927561
86	5.417981282
87	5.400899185
88	5.387363145
89	5.373645381
90	5.362354765
91	5.354928517
92	5.344721431
93	5.33340132
94	5.323211443
95	5.308047758
96	5.297869447
97	5.289836907
98	5.279563448
99	5.265519864
100	5.251336354
101	5.241829256
102	5.231973848
103	5.220366849
104	5.212268229
105	5.203937742
106	5.190908752
107	5.183269649
108	5.174238482
109	5.165484073
110	5.157076418
111	5.149268214
112	5.143139118
113	5.135792416
114	5.128450482
115	5.123040079
116	5.11775859
117	5.112797295
118	5.106366629
119	5.09953732
120	5.095650737
121	5.087763422
122	5.081914992
123	5.073860395
124	5.068955125
125	5.06312531
126	5.05638896
127	5.048621786
128	5.0425563
129	5.038525373
130	5.031071558
131	5.025921151
132	5.018000946
133	5.014390306
134	5.009971344
135	5.004952355
136	4.997677216
137	4.992903758
138	4.987405518
139	4.983748952
140	4.980053002
141	4.978251372
142	4.971527763
143	4.971053147
144	4.966074971
145	4.96050552
146	4.956836435
147	4.952736863
148	4.94814882
149	4.944376743
150	4.938836407
151	4.933272771
152	4.927350762
153	4.925968158
154	4.917089927
155	4.911559036
156	4.905328516
157	4.898847688
158	4.891662856
159	4.888337266
160	4.884725681
161	4.879325894
162	4.876058524
163	4.869814339
164	4.86775692
165	4.863842312
166	4.856315667
167	4.851912135
168	4.847056616
169	4.841650701
170	4.839280511
171	4.836805141
172	4.833049264
173	4.829220991
174	4.826859381
175	4.824318262
176	4.822108321
177	4.817569417
178	4.814634233
179	4.809801092
180	4.806610851
181	4.801053886
182	4.79424031
183	4.790465215
184	4.785357198
185	4.779804573
186	4.77629089
187	4.773493812
188	4.770938576
189	4.768379673
190	4.764164261
191	4.760691447
192	4.756061517
193	4.751085074
194	4.74903896
195	4.745300976
196	4.741686834
197	4.737587587
198	4.730916501
199	4.727805841
200	4.723714486
201	4.722033981
202	4.716654122
203	4.711772384
204	4.708739384
205	4.701137458
206	4.697156784
207	4.693958047
208	4.691553202
209	4.68771063
210	4.683842735
211	4.678897846
212	4.675243756
213	4.674165015
214	4.667492635
215	4.662458811
216	4.658753181
217	4.655360699
218	4.649803207
219	4.64422654
220	4.641015041
221	4.635296033
222	4.630076217
223	4.625141065
224	4.623241525
225	4.619105781
226	4.616637607
227	4.611069701
228	4.609087574
229	4.605951668
230	4.601557755
231	4.597797601
232	4.594270394
233	4.591113639
234	4.586330219
235	4.583471567
236	4.579763704
237	4.576385065
238	4.572425172
239	4.569231976
240	4.565786041
241	4.559911287
242	4.556375371
243	4.553973252
244	4.551459993
245	4.547969169
246	4.543167626
247	4.539495738
248	4.536757243
249	4.533613445
250	4.530822982
251	4.525923854
252	4.523007841
253	4.520230222
254	4.515087955
255	4.51390856
256	4.509407351
257	4.507911703
258	4.504192707
259	4.496566781
260	4.491699373
261	4.488964849
262	4.487453871
263	4.481845771
264	4.477016166
265	4.4699178
266	4.467106285
267	4.465795615
268	4.462204725
269	4.458502647
270	4.456729214
271	4.451283731
272	4.450208358
273	4.447681663
274	4.442459699
275	4.437217028
276	4.432289699
277	4.430370367
278	4.425747017
279	4.421578876
280	4.41940947
