iter	Passed	Remaining
0	56	56665
1	57	28498
2	57	19076
3	57	14383
4	58	11555
5	58	9681
6	58	8334
7	59	7322
8	59	6535
9	59	5905
10	59	5388
11	60	4958
12	60	4594
13	60	4284
14	61	4018
15	61	3782
16	61	3576
17	62	3399
18	62	3232
19	62	3081
20	63	2945
21	63	2826
22	63	2713
23	64	2611
24	64	2520
25	64	2433
26	65	2354
27	65	2279
28	66	2216
29	66	2154
30	67	2094
31	67	2037
32	67	1982
33	67	1930
34	68	1881
35	68	1835
36	68	1793
37	69	1752
38	69	1713
39	69	1675
40	70	1639
41	70	1604
42	70	1573
43	71	1543
44	71	1514
45	71	1487
46	72	1463
47	72	1437
48	72	1412
49	73	1389
50	73	1366
51	73	1343
52	73	1321
53	74	1300
54	74	1280
55	74	1261
56	75	1242
57	75	1224
58	75	1207
59	75	1190
60	76	1174
61	76	1158
62	76	1143
63	77	1129
64	77	1114
65	77	1100
66	78	1087
67	78	1077
68	79	1068
69	79	1058
70	80	1046
71	80	1035
72	80	1025
73	81	1014
74	81	1003
75	81	992
76	81	982
77	82	972
78	82	962
79	82	952
80	83	943
81	83	934
82	83	923
83	83	914
84	84	905
85	84	897
86	84	888
87	84	880
88	85	872
89	85	865
90	85	858
91	86	852
92	86	845
93	86	837
94	87	831
95	87	825
96	88	819
97	88	814
98	88	807
99	89	801
100	89	795
101	89	789
102	89	783
103	90	777
104	90	771
105	90	766
106	91	760
107	91	754
108	91	749
109	92	744
110	92	739
111	92	736
112	93	731
113	93	728
114	94	723
115	94	718
116	94	713
117	94	709
118	95	705
119	95	700
120	95	695
121	95	690
122	96	686
123	96	682
124	96	678
125	97	674
126	97	669
127	97	665
128	97	661
129	98	658
130	98	654
131	98	650
132	99	647
133	99	643
134	99	639
135	100	636
136	100	632
137	100	629
138	101	625
139	101	622
140	101	619
141	101	615
142	102	612
143	102	609
144	103	607
145	103	604
146	103	601
147	103	598
148	104	595
149	104	592
150	104	589
151	105	586
152	105	583
153	105	580
154	106	578
155	106	575
156	106	572
157	106	569
158	107	567
159	107	564
160	107	561
161	108	559
162	108	557
163	108	554
164	109	553
165	109	551
166	110	549
167	110	547
168	110	544
169	111	542
170	111	539
171	111	537
172	111	534
173	112	532
174	112	530
175	112	528
176	113	526
177	113	523
178	113	521
179	114	519
180	114	517
181	114	515
182	114	512
183	115	510
184	115	508
185	115	506
186	116	504
187	116	502
188	116	500
189	117	498
190	117	497
191	117	495
192	117	493
193	118	491
194	118	489
195	118	487
196	119	485
197	119	483
198	119	482
199	120	480
200	120	478
201	120	476
202	120	474
203	121	473
204	121	471
205	121	469
206	122	467
207	122	466
208	122	464
209	123	463
210	123	461
211	123	460
212	124	459
213	124	457
214	125	456
215	125	455
216	125	453
217	126	452
218	126	450
219	126	448
220	126	447
221	127	445
222	127	444
223	127	442
224	128	441
225	128	439
226	128	438
227	129	436
228	129	435
229	129	433
230	129	432
231	130	430
232	130	429
233	130	428
234	131	427
235	131	426
236	131	424
237	132	423
238	132	422
239	132	420
240	133	419
241	133	417
242	133	416
243	133	415
244	134	413
245	134	412
246	134	410
247	135	409
248	135	408
249	135	407
250	135	405
251	136	404
252	136	403
253	136	402
254	137	400
255	137	399
256	137	398
257	138	397
258	138	395
259	138	394
260	139	393
261	139	392
262	139	391
263	139	390
264	140	389
265	140	388
266	141	387
267	141	386
268	141	385
269	142	384
270	142	383
271	142	381
272	143	380
273	143	379
274	143	378
275	144	377
276	144	376
277	144	375
278	144	374
279	145	373
280	145	372
281	145	371
282	146	370
283	146	369
284	146	368
285	147	367
286	147	366
287	147	365
288	148	364
289	148	363
290	148	362
291	149	361
292	149	360
293	149	359
294	149	358
295	150	357
296	150	356
297	150	355
298	151	354
299	151	353
300	151	352
301	151	351
302	152	350
303	152	349
304	152	348
305	153	347
306	153	346
307	153	345
308	153	344
309	154	343
310	154	342
311	155	342
312	155	341
313	156	340
314	156	340
315	156	339
316	156	338
317	157	337
318	157	336
319	157	335
320	158	334
321	158	333
322	158	332
323	159	331
324	159	331
325	159	330
326	160	329
327	160	328
328	160	327
329	160	326
330	161	325
331	161	324
332	161	324
333	162	323
334	162	322
335	162	321
336	162	320
337	163	319
338	163	318
339	163	317
340	164	317
341	164	316
342	164	315
343	165	314
344	165	314
345	165	313
346	166	312
347	166	311
348	166	310
349	167	310
350	167	309
351	167	308
